category,subcategory,name,tag
Languages,Scripting,Python,python
Languages,Scripting,R,r
Languages,Scripting,JavaScript,javascript
Languages,Compiled,C,c
Languages,Compiled,C++,c
Languages,Compiled,CUDA,cuda
Languages,Compiled,Rust,
Languages,Compiled,Java,
Languages,Other,ARM Assembly,
Languages,Other,Verilog,
Libraries and Frameworks,Web,Django,web
Libraries and Frameworks,Web,Celery,web
Libraries and Frameworks,Web,D3.js,web
Libraries and Frameworks,Web,Node.js,web
Libraries and Frameworks,Data Science,Python C API,python
Libraries and Frameworks,Data Science,OpenCV,ds
Libraries and Frameworks,Data Science,Numpy,ds
Libraries and Frameworks,Data Science,SciKit-Learn,ds
Platforms,Web,Apache,web
Platforms,Web,RabbitMQ,web
Platforms,Web,SQL,web
Platforms,Platforms,Ubuntu,
Platforms,Platforms,FreeBSD,
Platforms,Platforms,VirtualBox,
Platforms,Platforms,ESXi,
Platforms,Platforms,FreeRadius,util
Hardware,Board Design,EagleCAD,embedded
Hardware,Board Design,Board Fabrication,embedded
Hardware,Mechanical,Sketchup,
Hardware,Mechanical,SolidWorks,
Hardware,Mechanical,3D Printing,
